Filename,Event Description Question
eval_results_Qwen2-VL-7B-Instruct_64frames_all_1023_score_uca_000003.jsonl,37.53333333333333
eval_results_lmms-lab--llava-onevision-qwen2-7b-ov_64frames_all_1023_score_uca_000001.jsonl,41.026666666666664
eval_results_OpenGVLab--InternVL2-8B_64frames_all_1023_score_uca_000003.jsonl,37.733333333333334
eval_results_OpenGVLab--InternVL2-8B_64frames_all_1023_score_uca_000001.jsonl,40.71666666666667
eval_results_OpenGVLab--InternVL2-26B_64frames_all_1023_score_uca_000001.jsonl,53.89333333333333
eval_results_OpenGVLab--InternVL2-40B_64frames_all_1023_score_uca_000004.jsonl,44.43333333333333
eval_results_Qwen2-VL-7B-Instruct_64frames_all_1023_score_uca_000002.jsonl,38.526666666666664
eval_results_lmms-lab--llava-onevision-qwen2-7b-ov_64frames_all_1023_score_uca_000004.jsonl,39.78333333333333
eval_results_OpenGVLab--InternVL2-1B_64frames_all_1023_score_uca_000003.jsonl,8.416666666666666
eval_results_qwen-vl2-2B_64frames_all_1023_score_uca_000001.jsonl,31.816666666666666
eval_results_OpenGVLab--InternVL2-40B_64frames_all_1023_score_uca_000002.jsonl,43.666666666666664
eval_results_OpenGVLab--InternVL2-1B_64frames_all_1023_score_uca_000002.jsonl,8.45
eval_results_OpenGVLab--InternVL2-26B_64frames_all_1023_score_uca_000004.jsonl,52.3
eval_results_OpenGVLab--InternVL2-1B_64frames_all_1023_score_uca_000001.jsonl,9.456666666666667
eval_results_OpenGVLab--InternVL2-40B_64frames_all_1023_score_uca_000001.jsonl,44.68333333333333
eval_results_OpenGVLab--InternVL2-1B_64frames_all_1023_score_uca_000004.jsonl,7.633333333333334
eval_results_OpenGVLab--InternVL2-8B_64frames_all_1023_score_uca_000002.jsonl,38.15
eval_results_OpenGVLab--InternVL2-40B_64frames_all_1023_score_uca_000003.jsonl,42.416666666666664
eval_results_OpenGVLab--InternVL2-8B_64frames_all_1023_score_uca_000004.jsonl,40.166666666666664
eval_results_OpenGVLab--InternVL2-26B_64frames_all_1023_score_uca_000003.jsonl,52.733333333333334
eval_results_Qwen2-VL-7B-Instruct_64frames_all_1023_score_uca_000001.jsonl,38.63333333333333
eval_results_lmms-lab--llava-onevision-qwen2-7b-ov_64frames_all_1023_score_uca_000002.jsonl,41.5
eval_results_qwen-vl2-2B_64frames_all_1023_score_uca_000003.jsonl,32.11
eval_results_qwen-vl2-2B_64frames_all_1023_score_uca_000002.jsonl,32.53333333333333
eval_results_Qwen2-VL-7B-Instruct_64frames_all_1023_score_uca_000004.jsonl,38.15
eval_results_OpenGVLab--InternVL2-26B_64frames_all_1023_score_uca_000002.jsonl,52.17666666666667
eval_results_lmms-lab--llava-onevision-qwen2-7b-ov_64frames_all_1023_score_uca_000003.jsonl,39.85
eval_results_qwen-vl2-2B_64frames_all_1023_score_uca_000004.jsonl,31.45
